i m 	j ai ans 
i m an artist 	je suis un artiste 
i m an artist 	je suis une artiste 
i m an orphan 	je suis orphelin 
i m attentive 	je suis attentive 
i m attentive 	je suis attentif 
i m available 	je suis disponible 
i m beautiful 	je suis belle 
i m beautiful 	je suis beau 
i m busy too 	je suis egalement affaire 
i m busy too 	je suis egalement affairee 
i m busy too 	je suis egalement occupe 
i m busy too 	je suis egalement occupee 
i m concerned 	je suis preoccupe 
i m concerned 	je suis preoccupee 
i m confident 	j ai confiance 
i m contented 	me voila satisfait 
i m contented 	me voila satisfaite 
i m convinced 	j en suis convaincu 
i m depressed 	je suis deprime 
i m desperate 	je suis desespere 
i m desperate 	je suis desesperee 
i m different 	je suis differente 
i m disgusted 	je suis degoute 
i m disgusted 	je suis degoutee 
i m easygoing 	je suis facile a vivre 
i m exhausted 	je suis epuisee 
i m exhausted 	je suis epuise 
i m exhausted 	je suis vanne 
i m exhausted 	je suis vannee 
i m exhausted 	je suis fourbu 
i m exhausted 	je suis creve 
i m exhausted 	je suis crevee 
i m forgetful 	je suis distrait 
i m forgetful 	je suis distraite 
i m forgetful 	je suis etourdi 
i m forgetful 	je suis etourdie 
i m home tom 	je suis chez moi tom 
i m hung over 	j ai mal au c ur 
i m impatient 	je suis impatient 
i m impatient 	je suis impatiente 
i m important 	je suis important 
i m impressed 	je suis impressionnee 
i m impulsive 	je suis impulsif 
i m impulsive 	je suis impulsive 
i m in boston 	je suis a boston 
i m in danger 	je suis en danger 
i m intrigued 	je suis intrigue 
i m intrigued 	je suis intriguee 
i m intrigued 	cela m intrigue 
i m just lazy 	je suis juste paresseux 
i m just lazy 	je suis juste paresseuse 
i m listening 	j ecoute 
i m motivated 	je suis motivee 
i m motivated 	je suis motive 
i m no expert 	je ne suis pas un expert 
i m not a cop 	je ne suis pas flic 
i m not a fan 	je ne fais pas partie de ses admirateurs 
i m not a fan 	je ne fais pas partie de leurs admirateurs 
i m not alone 	je ne suis pas seul 
i m not alone 	je ne suis pas seule 
i m not angry 	je ne suis pas en colere 
i m not angry 	je ne suis pas en colere 
i m not armed 	je ne suis pas arme 
i m not armed 	je ne suis pas armee 
i m not blind 	je ne suis pas aveugle 
i m not crazy 	je ne suis pas fou 
i m not crazy 	je ne suis pas folle 
i m not dying 	je ne suis pas en train de mourir 
i m not going 	je n y vais pas 
i m not going 	je ne m y rends pas 
i m not going 	je ne m en vais pas 
i m not happy 	je ne suis pas content 
i m not happy 	je ne suis pas heureux 
i m not happy 	je ne suis pas heureuse 
i m not happy 	je ne suis pas contente 
i m not lying 	je ne suis pas en train de mentir 
i m not naive 	je ne suis pas naif 
i m not naive 	je ne suis pas naive 
i m not obese 	je ne suis pas obese 
i m not ready 	je ne suis pas pret 
i m not ready 	je ne suis pas prete 
i m not short 	je ne suis pas petite 
i m not tired 	je ne suis pas fatigue 
i m not tired 	je ne suis pas fatiguee 
i m not young 	je ne suis pas jeune 
i m observant 	je suis observateur 
i m observant 	je suis observatrice 
i m observant 	je suis respectueux 
i m observant 	je suis respectueuse 
i m on a diet 	je suis au regime 
i m on my way 	je suis en chemin 
i m on my way 	je suis en route 
i m plastered 	je suis bourre 
i m powerless 	je suis desarme 
i m powerless 	je suis desarmee 
i m realistic 	je suis realiste 
i m resentful 	j eprouve du ressentiment 
i m resilient 	je suis endurant 
i m resilient 	je suis endurante 
i m resilient 	je suis tenace 
i m satisfied 	je suis satisfait 
i m saying no 	je dis non 
i m sensitive 	je suis sensible 
i m so hungry 	j ai tellement faim 
i m surprised 	je suis surpris 
i m surprised 	je suis surprise 
i m surviving 	je survis 
i m terrified 	je suis terrifie 
i m terrified 	je suis terrifiee 
i m tired now 	je suis fatigue maintenant 
i m too drunk 	je suis trop saoul 
i m uninsured 	je ne suis pas assure 
i m uninsured 	je ne suis pas assuree 
i m unmarried 	je suis celibataire 
i m very cold 	j ai tres froid 
i m very poor 	je suis tres pauvre 
i m voting no 	je vote non 
i m your boss 	je suis votre chef 
i m your boss 	je suis ton chef 
i m falling 	je tombe 
she is french 	elle est francaise 
she is a twin 	c est une jumelle 
she is a twin 	elle est jumelle 
she is active 	elle est active 
she is crying 	elle pleure 
she is crying 	elle est en train de pleurer 
she is gentle 	elle est gentille 
she is strong 	elle est forte 
she seems sad 	elle a l air triste 
she s a cutie 	c est une beaute 
she s a model 	c est un mannequin 
she s a model 	elle est mannequin 
she s awesome 	elle est super 
she s dieting 	elle fait un regime 
she s my type 	elle est mon genre 
they are here 	ils sont la 
they re asian 	ils sont asiatiques 
they re asian 	elles sont asiatiques 
they re alive 	ils sont en vie 
they re angry 	ils sont en colere 
they re angry 	elles sont en colere 
they re armed 	ils sont armes 
they re armed 	elles sont armees 
they re awake 	ils sont eveilles 
they re awake 	elles sont eveillees 
they re brave 	ils sont courageux 
they re brave 	elles sont courageuses 
they re brave 	ils n ont pas froid aux yeux 
they re broke 	ils sont fauches 
they re broke 	elles sont fauchees 
they re clean 	ils sont propres 
they re clean 	elles sont propres 
they re crazy 	ils sont fous 
they re crazy 	elles sont folles 
they re drunk 	ils sont saouls 
they re drunk 	elles sont saoules 
they re dying 	ils sont en train de mourir 
they re dying 	elles sont en train de mourir 
they re early 	ils sont en avance 
they re early 	elles sont en avance 
they re happy 	elles sont heureuses 
they re lying 	ils mentent 
they re lying 	elles mentent 
they re small 	ils sont petits 
they re small 	elles sont petites 
they re spies 	ce sont des espions 
they re spies 	ce sont des espionnes 
they re there 	ils sont la 
they re tired 	ils sont fatigues 
they re tired 	elles sont fatiguees 
they re wrong 	ils ont tort 
we are at war 	nous sommes en guerre 
we are doomed 	nous sommes condamnes 
we re a group 	nous formons un groupe 
we re anxious 	nous sommes anxieux 
we re ashamed 	nous avons honte 
we re baffled 	nous sommes perplexes 
we re careful 	nous sommes prudents 
we re careful 	nous sommes prudentes 
we re certain 	nous sommes certains 
we re certain 	nous sommes certaines 
we re cousins 	nous sommes cousines 
we re dancing 	nous sommes en train de danser 
we re dieting 	nous sommes au regime 
we re engaged 	nous sommes fiances 
we re fasting 	nous faisons la diete 
we re friends 	nous sommes amis 
we re friends 	nous sommes amies 
we re in love 	nous nous aimons 
we re in love 	nous sommes amoureux 
we re in love 	nous sommes amoureuses 
we re in luck 	nous sommes veinards 
we re in luck 	nous sommes veinardes 
we re in pain 	nous souffrons 
we re in sync 	nous sommes synchronises 
we re in sync 	nous sommes synchronisees 
we re in town 	nous sommes en ville 
we re jealous 	nous sommes jalouses 
we re kidding 	nous plaisantons 
we re married 	nous sommes maries 
we re not fit 	nous ne sommes pas en forme 
we re not mad 	nous ne sommes pas fous 
we re not mad 	nous ne sommes pas folles 
we re not old 	nous ne sommes pas vieux 
we re not old 	nous ne sommes pas vieilles 
we re reading 	nous sommes en train de lire 
we re relaxed 	nous sommes detendus 
we re relaxed 	nous sommes detendues 
we re serious 	nous sommes serieux 
we re serious 	nous sommes serieuses 
we re shocked 	nous sommes choques 
we re shocked 	nous sommes choquees 
we re sincere 	nous sommes sinceres 
we re sinking 	nous coulons 
we re sinking 	nous sommes en train de couler 
we re sloshed 	nous sommes bourres 
we re sloshed 	nous sommes bourrees 
we re smashed 	nous sommes bourres 
we re smashed 	nous sommes bourrees 
we re special 	nous sommes speciaux 
we re stalled 	nous sommes a l arret 
we re starved 	nous sommes affames 
we re starved 	nous sommes affamees 
we re staying 	nous restons 
we re stuffed 	nous sommes gaves 
we re stuffed 	nous sommes gavees 
we re stunned 	nous sommes sideres 
we re stunned 	nous sommes siderees 
we re through 	nous avons termine 
we re through 	nous en avons fini 
we re too old 	nous sommes trop vieux 
we re touched 	nous sommes touches 
we re touched 	nous sommes touchees 
we re trapped 	nous sommes pieges 
we re trapped 	nous sommes piegees 
we re trapped 	nous sommes pieges 
we re trapped 	nous sommes piegees 
we re unhappy 	nous ne sommes pas satisfaits 
we re unhappy 	nous ne sommes pas satisfaites 
we re unlucky 	nous sommes malchanceux 
we re unlucky 	nous sommes malchanceuses 
we re useless 	nous sommes inutiles 
we re waiting 	nous sommes en train d attendre 
we re wealthy 	nous sommes riches 
we re winners 	nous sommes des gagneurs 
we re winning 	nous sommes en train de gagner 
we re working 	nous sommes en train de travailler 
we re worried 	nous nous faisons du souci 
you are crazy 	tu es fou 
you are drunk 	tu es bourre 
you are drunk 	tu es saoul 
you are early 	tu viens tot 
you are early 	vous etes matinal 
you are early 	vous etes matinale 
you are early 	tu es matinal 
you are early 	tu es matinale 
you are early 	tu es en avance 
you are early 	vous etes en avance 
you are lying 	vous mentez 
you are lying 	vous etes en train de mentir 
you are lying 	tu es en train de mentir 
you are sharp 	tu es malin 
you are wrong 	vous avez tort 
you are wrong 	tu as tort 
you re a doll 	tu es un amour 
you re a doll 	vous etes un amour 
you re a liar 	tu es un menteur 
you re a liar 	vous etes un menteur 
you re a liar 	vous etes une menteuse 
you re a liar 	tu es une menteuse 
you re a nerd 	tu es un binoclard 
you re a snob 	tu es snob 
you re a snob 	vous etes snob 
you re biased 	tu es partiale 
you re biased 	tu es partial 
you re boring 	vous m ennuyez 
you re boring 	tu m ennuies 
you re bright 	tu es brillant 
you re bright 	tu es brillante 
you re bright 	vous etes brillant 
you re bright 	vous etes brillante 
you re bright 	vous etes brillants 
you re bright 	vous etes brillantes 
you re clever 	tu es malin 
you re clever 	tu es maline 
you re clever 	vous etes malin 
you re clever 	vous etes maline 
you re clever 	vous etes malins 
you re clever 	vous etes malines 
you re crafty 	vous etes ruse 
you re crafty 	tu es ruse 
you re crafty 	tu es rusee 
you re crafty 	vous etes ruses 
you re crafty 	vous etes rusee 
you re crafty 	vous etes rusees 
you re crafty 	tu es astucieux 
you re crafty 	tu es astucieuse 
you re crafty 	vous etes astucieux 
you re crafty 	vous etes astucieuse 
you re creepy 	tu es sinistre 
you re creepy 	vous etes sinistre 
you re creepy 	vous etes sinistres 
you re famous 	tu es connu 
you re famous 	tu es connue 
you re famous 	vous etes connu 
you re famous 	vous etes connus 
you re famous 	vous etes connue 
you re famous 	vous etes connues 
you re greedy 	tu es avide 
you re greedy 	vous etes avide 
you re greedy 	vous etes avides 
you re grumpy 	tu es bougon 
you re grumpy 	tu es bougonne 
you re grumpy 	tu es grognon 
you re grumpy 	vous etes bougon 
you re grumpy 	vous etes bougonne 
you re grumpy 	vous etes grognon 
you re insane 	tu es dingue 
you re joking 	tu plaisantes 
you re joking 	vous plaisantez 
you re loaded 	t es bourre 
you re loaded 	t es bourree 
you re loaded 	t es plein de fric 
you re loaded 	t es pleine de fric 
you re losing 	tu es en train de perdre 
you re losing 	vous etes en train de perdre 
you re no fun 	tu n es pas drole 
you re no fun 	vous n etes pas drole 
you re pretty 	tu es jolie 
you re pretty 	vous etes jolie 
you re single 	tu es celibataire 
you re single 	vous etes celibataire 
you re skinny 	tu es maigrichonne 
you re skinny 	vous etes maigrichonne 
you re skinny 	vous etes maigrichonnes 
you re skinny 	vous etes maigrichon 
you re skinny 	vous etes maigrichons 
you re skinny 	tu es maigrichon 
you re sleepy 	tu es endormi 
you re sleepy 	tu es endormie 
you re sleepy 	vous etes endormi 
you re sleepy 	vous etes endormis 
you re sleepy 	vous etes endormie 
you re sleepy 	vous etes endormies 
you re sneaky 	tu es sournois 
you re sneaky 	tu es sournoise 
you re sneaky 	vous etes sournois 
you re sneaky 	vous etes sournoise 
you re sneaky 	vous etes sournoises 
you re stupid 	tu es idiote 
you re unfair 	tu es injuste 
he is american 	il est americain 
he is canadian 	il est canadien 
he is japanese 	il est japonais 
he is a genius 	c est un genie 
he is a writer 	il est ecrivain 
he is an actor 	c est un acteur 
he is bankrupt 	il est en faillite 
he is in tokyo 	il est a tokyo 
he is my uncle 	c est mon oncle 
he is outgoing 	il est ouvert 
he is outgoing 	il est sociable 
he is outgoing 	il est extraverti 
he is powerful 	il est puissant 
he is well off 	il est riche 
he s a bit shy 	il est un peu timide 
he s a bit shy 	il est quelque peu timide 
he s a gambler 	il est joueur 
he s a gambler 	c est un joueur 
he s a man now 	c est desormais un homme 
he s a slacker 	c est un faineant 
he s a slacker 	c est un planque 
he s all right 	il va bien 
he s an author 	c est un auteur 
he s an author 	il est auteur 
he s an ex con 	c est un ancien detenu 
he s an outlaw 	c est un hors la loi 
he s depressed 	il est deprime 
he s henpecked 	il est harcele 
he s in danger 	il est en danger 
he s in prison 	il se trouve en prison 
he s in prison 	il est en prison 
he s my friend 	il est mon ami 
he s my friend 	c est mon ami 
he s my friend 	c est mon ami 
he s not going 	il n y va pas 
he s not going 	il ne s y rend pas 
he s not going 	il ne s en va pas 
he s not ready 	il n est pas pret 
he s so stupid 	il est tellement idiot 
he s too drunk 	il est trop saoul 
he s too drunk 	il est trop ivre 
he s very open 	il est tres ouvert 
i am hungarian 	je suis hongrois 
i am a shy boy 	je suis un garcon timide 
i am a student 	je suis etudiant 
i am a teacher 	je suis professeur 
i am a tourist 	je suis touriste 
i am after him 	je suis apres lui 
i am an artist 	je suis un artiste 
i am an artist 	je suis une artiste 
i am exhausted 	je suis epuisee 
i am exhausted 	je suis epuise 
i am exhausted 	je suis vanne 
i am exhausted 	je suis vannee 
i am exhausted 	je suis fourbu 
i am exhausted 	je suis creve 
i am in london 	je suis a londres 
i am in a spot 	je suis dans le petrin 
i am in a spot 	je suis dans un endroit 
i am not happy 	je ne suis pas content 
i am not happy 	je ne suis pas heureux 
i am not happy 	je ne suis pas heureuse 
i am not happy 	je ne suis pas contente 
i am off today 	je suis en conge aujourd hui 
i am off today 	je ne suis pas de service aujourd hui 
i am off today 	je ne suis pas en service aujourd hui 
i am too short 	je suis trop petit 
i am very tall 	je suis tres grand 
i am very tall 	je suis tres grande 
i m a bit busy 	je suis un peu occupe 
i m a diabetic 	je suis diabetique 
i m a free man 	je suis un homme libre 
i m a good guy 	je suis un mec bien 
i m a musician 	je suis musicien 
i m a musician 	je suis musicienne 
i m a nice guy 	je suis quelqu un de bien 
i m a real man 	je suis un vrai mec 
i m a salesman 	je suis un vendeur 
i m afraid not 	j ai bien peur que non 
i m afraid not 	je crains que non 
i m against it 	je suis contre 
i m all thumbs 	je suis maladroit 
i m an old man 	je suis un vieil homme 
i m astonished 	je suis stupefait 
i m astonished 	je suis stupefaite 
i m behind him 	je suis derriere lui 
i m being used 	on m utilise 
i m contagious 	je suis contagieux 
i m contagious 	je suis contagieuse 
i m dead tired 	je suis mort de fatigue 
i m dehydrated 	je suis deshydrate 
i m dehydrated 	je suis deshydratee 
i m dependable 	je suis fiable 
i m dependable 	on peut compter sur moi 
i m devastated 	je suis aneanti 
i m devastated 	je suis aneantie 
i m doing well 	je vais bien 
i m downstairs 	je suis en bas 
i m eating now 	je suis en train de manger 
i m exercising 	je suis en train de m entrainer 
